Start,End,Note,
0.09,2.66,F1,
2.66,3.56,A♯1,
3.56,3.64,G2,
3.64,3.7,F♯2,
3.7,3.75,F2,
3.75,3.81,E2,
3.81,4.16,D♯2,
4.16,4.38,A1,
4.38,5.6,D♯2,
5.6,7.82,G♯1,
7.82,8.82,C♯2,
8.82,10.43,E2,
10.43,12,D♯2,
12,14.02,G♯1,
14.02,14.78,C♯2,
14.78,15.22,D♯2,
15.22,17.2,E2,
17.2,18.4,D♯2,
18.4,19.78,G♯1,
19.78,20.23,D♯2,
20.23,20.6,G♯1,
20.6,21.17,C♯2,
21.17,21.59,D♯2,
21.59,23.59,E2,
23.59,24.79,D♯2,
24.79,26.22,G♯1,
26.22,26.39,A1,
26.39,26.58,D♯2,
26.58,26.92,G♯2,
26.92,27.57,C♯2,
27.57,28,D♯2,
28,29.99,E2,
29.99,31.21,D♯2,
31.21,32.78,G♯1,
32.78,32.99,D♯2,
32.99,33.5,G♯2,
33.5,33.97,C♯2,
33.97,34.39,D♯2,
34.39,36.41,E2,
36.41,37.59,D♯2,
37.59,39.65,G♯1,
39.65,40.39,C♯2,
40.39,40.81,D♯2,
40.81,41.36,E2,
41.36,41.39,A♯2,
41.39,41.56,B2,
41.56,41.77,E3,
41.77,42.19,F♯3,
42.19,42.39,B2,
42.39,42.59,F♯2,
42.59,42.81,E2,
42.81,44,D♯2,
44,45.4,G♯1,
45.4,45.81,D♯2,
45.81,46.3,G♯1,
46.3,46.79,C♯2,
46.79,47.19,D♯2,
47.19,49.19,E2,
49.19,50.43,D♯2,
50.43,51.86,G♯1,
51.86,52.24,A1,
52.24,52.43,G♯2,
52.43,53.2,C♯2,
53.2,53.61,D♯2,
53.61,54.15,E2,
54.15,54.19,D♯2,
54.19,54.42,D2,
54.42,54.81,D♯1,
54.81,55.17,E1,
55.17,55.68,F1,
55.68,56.4,F♯1,
56.4,57.05,F♯2,
57.05,57.99,F♯1,
57.99,58.62,F♯2,
58.62,59.58,F♯1,
59.58,60.06,F♯2,
60.06,60.22,D♯1,
60.22,60.46,F♯1,
60.46,61.63,G♯1,
61.63,62.05,C♯1,
62.05,62.77,F♯1,
62.77,63.41,F♯2,
63.41,64.4,F♯1,
64.4,64.98,F♯2,
64.98,65.66,F♯1,
65.66,65.98,A♯1,
65.98,66.23,F♯2,
66.23,66.42,C♯2,
66.42,66.82,D♯2,
66.82,68,G♯1,
68,68.43,C♯2,
68.43,69.17,F♯1,
69.17,69.8,F♯2,
69.8,70.4,F♯1,
70.4,70.79,D♯2,
70.79,71.19,E2,
71.19,71.49,F2,
71.49,71.61,E2,
71.61,72.37,F♯1,
72.37,72.8,F♯2,
72.8,73.01,F♯1,
73.01,73.2,D♯1,
73.2,74.41,G♯1,
74.41,74.82,C♯2,
74.82,75.58,F♯1,
75.58,76.21,F♯2,
76.21,77.19,F♯1,
77.19,77.83,F♯2,
77.83,78.81,F♯1,
78.81,79.63,G♯1,
79.63,81.12,A1,
81.12,81.31,B1,
81.31,81.35,D2,
81.35,82.41,D♯2,
82.41,83.83,G♯1,
83.83,83.99,A1,
83.99,84.18,D♯2,
84.18,84.55,G♯2,
84.55,85.05,C♯2,s
85.05,85.16,D2,
85.16,85.58,D♯2,
85.58,87.59,E2,
87.59,88.49,D♯2,
88.49,88.8,A♯1,
88.8,89.99,G♯1,
89.99,90.2,G♯2,
90.2,90.42,D♯2,
90.42,90.61,G♯1,
90.61,90.9,D♯2,
90.9,91.55,C♯2,
91.55,91.99,D♯2,
91.99,93.4,E2,
93.4,93.81,B2,
93.81,94.03,E2,
94.03,97.21,D♯2,
97.21,97.97,C♯2,
97.97,98.38,D♯2,
98.38,100.39,E2,
100.39,101.59,D♯2,
101.59,103.02,G♯1,
103.02,103.19,A1,
103.19,103.4,D♯2,
103.4,103.63,G♯2,
103.63,104.24,C♯2,
104.24,104.81,D♯2,
104.81,106.78,E2,
106.78,108.02,D♯2,
108.02,109.59,G♯1,
109.59,109.77,D♯2,
109.77,110.16,G♯1,
110.16,110.77,C♯2,
